director_id,movie_id
7879,862
4945,8844
26502,15602
2178,31357
56106,11862
638,949
2226,11860
18357,45325
37710,9091
10702,710
3026,9087
14639,12110
21879,21032
1152,10858
16938,1408
1032,524
1614,4584
3110,5
3111,5
2294,5
138,5
4489,9273
52629,11517
5174,8012
15148,1710
7187,9691
56349,12665
6111,451
56710,16420
15798,9263
7017,17015
2419,902
13680,902
607,37557
60295,9909
280,63
2352,78802
58137,9598
12952,47018
504,687
77867,139405
17167,33689
57434,9603
16730,34615
33315,31174
11447,11443
11448,11443
52405,35196
4014,9312
5216,577
3047,11861
7467,807
65530,10530
65531,10530
55439,8391
9032,629
100505,117164
1243,11448
128107,49133
71338,26441
140354,97406
30586,124057
1038,9089
28898,11010
38527,99040
7908,11359
19304,17182
18356,2054
45649,10607
49361,19760
57870,9536
69721,11525
15890,40628
35137,4482
37932,10634
2294,755
70850,11859
5656,28387
16862,48750
10296,20927
58712,36929
25735,9102
1080309,124626
2228,27526
18069,9623
120229,46785
5501,400
13496,880
27771,146599
117075,188588
55038,8447
578,10534
29009,17414
58448,13997
12840,2086
72624,61548
3224,9095
5140,12158
34849,9283
11401,9208
11181,40154
2406,406
4014,45549
92561,63076
23213,11062
5655,13685
14692,47475
21053,2045
17494,9614
190,688
18969,11907
65298,10874
64077,89333
1234226,96357
2461,197
1032,103
44916,33542
23393,43566
184475,71754
20849,43612
82293,51352
81020,16934
68185,10324
12989,78406
36147,55731
60295,32119
68215,11066
12453,11104
65314,37975
17883,2074
16589,27793
239321,44284
93632,290157
122583,110972
41670,32622
125543,73067
15175,11863
114997,55475
84445,124636
12920,9101
1077999,123360
45382,5757
93911,39428
1080311,124639
18250,9302
5342,11000
1285121,249882
12833,16388
865,9737
56828,30765
65390,10474
10723,22279
91343,30157
6159,568
30365,11780
39104,34996
5572,414
793,649
19665,1873
46391,5894
39819,5894
17087,1775
11887,8839
5281,20649
664,10329
893,8963
17447,26564
2294,8068
21712,8512
1090,1572
19224,13552
68774,259209
3415,6520
56998,9073
1978,10428
