id,title,release_date,genres,year
862,Toy Story,10/30/1995,"['Animation', 'Comedy', 'Family']",1995
8844,Jumanji,12/15/1995,"['Adventure', 'Fantasy', 'Family']",1995
15602,Grumpier Old Men,12/22/1995,"['Romance', 'Comedy']",1995
31357,Waiting to Exhale,12/22/1995,"['Comedy', 'Drama', 'Romance']",1995
11862,Father of the Bride Part II,2/10/1995,['Comedy'],1995
949,Heat,12/15/1995,"['Action', 'Crime', 'Drama', 'Thriller']",1995
11860,Sabrina,12/15/1995,"['Comedy', 'Romance']",1995
45325,Tom and Huck,12/22/1995,"['Action', 'Adventure', 'Drama', 'Family']",1995
9091,Sudden Death,12/22/1995,"['Action', 'Adventure', 'Thriller']",1995
710,GoldenEye,11/16/1995,"['Adventure', 'Action', 'Thriller']",1995
9087,The American President,11/17/1995,"['Comedy', 'Drama', 'Romance']",1995
12110,Dracula: Dead and Loving It,12/22/1995,"['Comedy', 'Horror']",1995
21032,Balto,12/22/1995,"['Family', 'Animation', 'Adventure']",1995
10858,Nixon,12/22/1995,"['History', 'Drama']",1995
1408,Cutthroat Island,12/22/1995,"['Action', 'Adventure']",1995
524,Casino,11/22/1995,"['Drama', 'Crime']",1995
4584,Sense and Sensibility,12/13/1995,"['Drama', 'Romance']",1995
5,Four Rooms,12/9/1995,"['Crime', 'Comedy']",1995
9273,Ace Ventura: When Nature Calls,11/10/1995,"['Crime', 'Comedy', 'Adventure']",1995
11517,Money Train,11/21/1995,"['Action', 'Comedy', 'Crime']",1995
8012,Get Shorty,10/20/1995,"['Comedy', 'Thriller', 'Crime']",1995
1710,Copycat,10/27/1995,"['Drama', 'Thriller']",1995
9691,Assassins,10/6/1995,"['Action', 'Adventure', 'Crime', 'Thriller']",1995
12665,Powder,10/27/1995,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",1995
451,Leaving Las Vegas,10/27/1995,"['Drama', 'Romance']",1995
16420,Othello,12/15/1995,['Drama'],1995
9263,Now and Then,10/20/1995,"['Comedy', 'Drama', 'Family']",1995
